Date,Tweet,Close.
2013-02-14,Obama's Fix-It First plan would create jobs by repairing roads bridges & other infrastructure that most urgently need an upgrade. #JobsNow,"1,521.38"
2013-02-14,FACT: Obama's plan would slash our reliance on foreign oil create jobs and cut energy costs by doubling clean energy production. #JobsNow,"1,521.38"
2013-02-14,FACT: President Obama's plan calls for investing in homegrown clean energy that helps protect families from spikes in gas prices. #JobsNow,"1,521.38"
2013-02-14,FACT: Obama's plan ends tax breaks for companies to ship jobs overseas and rewards companies that hire here at home. #JobsNow,"1,521.38"
2013-02-14,The President's plan begins with making America a magnet for jobs and high-tech manufacturing: http://OFA.BO/j71u4kÂ  #JobsNow,"1,521.38"
2013-02-13,They deserve a vote:pic.twitter.com/0bz1xe64,"1,520.33"
2013-02-13,Even former President Reagan agrees: Weapons of war have no place in our communities. #NowIsTheTimepic.twitter.com/tjjXvFk5,"1,520.33"
2013-02-13,None of the progress the President spoke about last night is going to happen without you behind him. Say you're in: http://OFA.BO/uG4t57Â ,"1,520.33"
2013-02-13,Obama: â€œAs long as youâ€™re out here fighting every day to better your lives â€¦ then Iâ€™ll be back in Washington fighting for you.â€ #JobsNow,"1,520.33"
2013-02-13,"President Obama: ""We donâ€™t give up we get up. We innovate; we adapt; we learn new skills. We keep going."" #JobsNow","1,520.33"
2013-02-13,Obama on tax reform: Stop rewarding companies for shipping jobs overseas & start rewarding companies that create jobs here. #JobsNow,"1,520.33"
2013-02-13,"President Obama: ""After shedding jobs for 10 years American manufacturers have added about 500000 jobs over the last 3 years."" #JobsNow","1,520.33"
2013-02-13,"President Obama on restoring America's basic bargain: ""If you work hard if you're willing to meet your responsibilitiesâ€”you can get ahead.""","1,520.33"
2013-02-13,Watch live: President Obama speaks in North Carolina about his plan to create jobs and grow our economy. http://OFA.BO/i8QW22Â  #JobsNow,"1,520.33"
2013-02-13,FACT: 92% of Americans support requiring background checks for all gun salesâ€”RT if you're one of them.pic.twitter.com/y7OzOhkF,"1,520.33"
2013-02-13,If you missed it watch the President's #SOTU address with enhanced graphics & stats on his plan to grow our economy:http://OFA.BO/1TJn36Â ,"1,520.33"
2013-02-12,RT if you agree: We need to keep growing our economy from the middle outâ€”not go back to the top-down policies that crashed it. #JobsNow,"1,519.43"
